"","fplids"
"18401",8478444
"18402",1810392
"18403",9474890
"18404",4084108
"18405",4177454
"18406",7838942
"18407",2249787
"18408",1646846
"18409",7839662
"18410",8336258
"18411",7755201
"18412",6647024
"18413",8336318
"18414",3441468
"18415",8568983
"18416",1774668
"18417",5753258
"18418",1790750
"18419",422258
"18420",1343512
"18421",1593547
"18422",5072815
"18423",2096384
"18424",3369532
"18425",1840669
"18426",1350256
"18427",9419554
"18428",4622522
"18429",6766262
"18430",2179883
"18431",144895
"18432",5027308
"18433",4737311
"18434",5009192
"18435",3675412
"18436",6285756
"18437",5521295
"18438",9327464
"18439",1685273
"18440",8904647
"18441",7261781
"18442",8102447
"18443",32195
"18444",3365822
"18445",299701
"18446",8891617
"18447",3772271
"18448",4158477
"18449",8967552
"18450",42007
"18451",7009939
"18452",3238926
"18453",16041
"18454",7162182
"18455",6979620
"18456",2771036
"18457",1367154
"18458",5753281
"18459",6248384
"18460",865514
"18461",1556639
"18462",1341759
"18463",7903902
"18464",7655349
"18465",5297768
"18466",4163424
"18467",9099003
"18468",6014732
"18469",9976329
"18470",2484433
"18471",9969237
"18472",5575021
"18473",2906902
"18474",6404072
"18475",7004874
"18476",8097138
"18477",2061549
"18478",1887375
"18479",4948359
"18480",7540375
"18481",8141325
"18482",5224546
"18483",5984285
"18484",554655
"18485",4511807
"18486",5068175
"18487",6693475
"18488",1677111
"18489",4229383
"18490",7886520
"18491",1019363
"18492",1705666
"18493",9467334
"18494",2973546
"18495",434859
"18496",3975396
"18497",9020034
"18498",5235925
"18499",6341885
"18500",1236621
"18501",9517375
"18502",2012639
"18503",8581491
"18504",9532911
"18505",7333123
"18506",1252594
"18507",5441708
"18508",1036119
"18509",7307375
"18510",5868166
"18511",6639843
"18512",1738765
"18513",4067266
"18514",4517459
"18515",2515681
"18516",4787449
"18517",7587494
"18518",5232875
"18519",4883595
"18520",107081
"18521",9209662
"18522",3878576
"18523",4207789
"18524",703121
"18525",4934698
"18526",4995652
"18527",6414131
"18528",8424722
"18529",20702
"18530",5164165
"18531",9951672
"18532",2597225
"18533",2765076
"18534",9838249
"18535",565769
"18536",1758302
"18537",2193845
"18538",1612997
"18539",5404971
"18540",9816033
"18541",1451406
"18542",7237611
"18543",3166009
"18544",7337735
"18545",6890827
"18546",4293195
"18547",9317457
"18548",4784439
"18549",6644228
"18550",3477665
"18551",8307838
"18552",7739934
"18553",1560757
"18554",7716336
"18555",2358260
"18556",2932203
"18557",7451724
"18558",8461270
"18559",5694060
"18560",7502170
"18561",4928610
"18562",1420864
"18563",7009394
"18564",7477235
"18565",3662842
"18566",4262837
"18567",8924915
"18568",5858306
"18569",2512348
"18570",7222075
"18571",6694534
"18572",5745010
"18573",3021904
"18574",5080091
"18575",2134714
"18576",1750820
"18577",5808872
"18578",2598015
"18579",957202
"18580",9642263
"18581",4921820
"18582",9704672
"18583",1529907
"18584",1443340
"18585",4708153
"18586",7327302
"18587",7922865
"18588",4050536
"18589",5055372
"18590",8329177
"18591",2591628
"18592",8255005
"18593",3515169
"18594",9795407
"18595",3644916
"18596",2099442
"18597",8857684
"18598",6304455
"18599",4902946
"18600",8935690
"18601",168798
"18602",1847029
"18603",6111101
"18604",1809419
"18605",6958765
"18606",5477859
"18607",7814654
"18608",2834562
"18609",5651362
"18610",8766398
"18611",2886486
"18612",6626343
"18613",3446016
"18614",4430079
"18615",8293299
"18616",4649560
"18617",9536682
"18618",2057258
"18619",1162077
"18620",2833620
"18621",4913226
"18622",8193787
"18623",1591486
"18624",2828404
"18625",5078921
"18626",5918506
"18627",7990410
"18628",1276039
"18629",5735530
"18630",7761681
"18631",831366
"18632",843622
"18633",9004802
"18634",8507678
"18635",7561072
"18636",2464649
"18637",2583018
"18638",7276971
"18639",5417196
"18640",1410666
"18641",815002
"18642",2910221
"18643",1476668
"18644",4081968
"18645",3028627
"18646",630218
"18647",5961025
"18648",1954262
"18649",9206785
"18650",9156606
"18651",6182942
"18652",3682952
"18653",7753234
"18654",5671168
"18655",2147127
"18656",4653135
"18657",5604729
"18658",2299831
"18659",4300866
"18660",2668566
"18661",9425374
"18662",1283140
"18663",4422812
"18664",6774495
"18665",9643623
"18666",7871340
"18667",2488703
"18668",7584194
"18669",5192503
"18670",2802487
"18671",8636913
"18672",8548575
"18673",7136246
"18674",9508056
"18675",1693075
"18676",8566030
"18677",8413934
"18678",4222716
"18679",6862628
"18680",2102679
"18681",6200680
"18682",1799545
"18683",4326288
"18684",1949393
"18685",4787565
"18686",8243424
"18687",5994746
"18688",5037501
"18689",582813
"18690",2515603
"18691",1690210
"18692",9180086
"18693",3142441
"18694",7767052
"18695",2752418
"18696",4866762
"18697",1474364
"18698",6761002
"18699",9121810
"18700",3712389
"18701",2264381
"18702",7349495
"18703",2445716
"18704",6534014
"18705",3852346
"18706",4728976
"18707",8194849
"18708",335706
"18709",2560461
"18710",7526614
"18711",3870466
"18712",7665221
"18713",3025911
"18714",2487166
"18715",9520161
"18716",2977245
"18717",1909794
"18718",7832625
"18719",2515897
"18720",2089893
"18721",7429435
"18722",1864383
"18723",3994949
"18724",883505
"18725",1419046
"18726",5545600
"18727",5309660
"18728",3485689
"18729",1475569
"18730",7151171
"18731",3893609
"18732",9990173
"18733",5306921
"18734",2395964
"18735",852107
"18736",9636958
"18737",9788190
"18738",7592754
"18739",1406735
"18740",8795255
"18741",8080638
"18742",6964106
"18743",1645361
"18744",7139136
"18745",7484871
"18746",8539677
"18747",508565
"18748",853300
"18749",548323
"18750",9319841
"18751",3849074
"18752",2907732
"18753",3600603
"18754",2248997
"18755",9975457
"18756",1407466
"18757",1130641
"18758",2987605
"18759",8133098
"18760",6251161
"18761",1085137
"18762",3678702
"18763",3372211
"18764",6736418
"18765",4095652
"18766",5911190
"18767",6657669
"18768",1407256
"18769",6033379
"18770",5234674
"18771",1423247
"18772",5005148
"18773",7004557
"18774",7942603
"18775",9424321
"18776",467206
"18777",3336250
"18778",812643
"18779",3717010
"18780",6539044
"18781",3096086
"18782",5972775
"18783",5302840
"18784",1932891
"18785",3866095
"18786",6312628
"18787",3622283
"18788",1531221
"18789",5003391
"18790",654815
"18791",3585992
"18792",6099871
"18793",169048
"18794",1441823
"18795",3545079
"18796",9019588
"18797",3349663
"18798",9402478
"18799",4680848
"18800",4299097
"18801",2913262
"18802",3188607
"18803",1875455
"18804",6542659
"18805",2373309
"18806",4091135
"18807",4934076
"18808",6143814
"18809",7028855
"18810",5142725
"18811",9415649
"18812",6297661
"18813",5959876
"18814",1753054
"18815",6233879
"18816",4338023
"18817",7548527
"18818",9885982
"18819",4631222
"18820",8590123
"18821",5239969
"18822",6794005
"18823",4641280
"18824",193650
"18825",932206
"18826",2877893
"18827",9849412
"18828",4247934
"18829",2776022
"18830",3748787
"18831",9478394
"18832",2414013
"18833",2441909
"18834",2804563
"18835",9723245
"18836",2444158
"18837",8969713
"18838",7743517
"18839",9348754
"18840",9602085
"18841",404273
"18842",1566331
"18843",6624240
"18844",9189176
"18845",1824829
"18846",276403
"18847",7223864
"18848",2917643
"18849",596353
"18850",8167075
"18851",267245
"18852",3200945
"18853",2608109
"18854",3097702
"18855",9152859
"18856",1584034
"18857",4313758
"18858",4539333
"18859",1814110
"18860",8479766
"18861",7297660
"18862",3729450
"18863",4721721
"18864",6516915
"18865",8645583
"18866",754696
"18867",1545469
"18868",2311958
"18869",3474615
"18870",6410524
"18871",7294613
"18872",556063
"18873",141945
"18874",6953862
"18875",1287297
"18876",8292124
"18877",9463907
"18878",9529922
"18879",8613333
"18880",4916609
"18881",1023618
"18882",2058147
"18883",9401082
"18884",6813803
"18885",9037735
"18886",207804
"18887",5123984
"18888",6374893
"18889",8888946
"18890",1714475
"18891",1608842
"18892",8611189
"18893",2788841
"18894",2487338
"18895",7735313
"18896",1559458
"18897",6122776
"18898",9703078
"18899",3234625
"18900",4947006
"18901",4090912
"18902",8299136
"18903",3177514
"18904",3854884
"18905",94921
"18906",7445424
"18907",3404923
"18908",1613044
"18909",6142854
"18910",8898594
"18911",7429099
"18912",9673639
"18913",5007814
"18914",5957564
"18915",644424
"18916",9549249
"18917",8691828
"18918",6989265
"18919",6990163
"18920",4630071
"18921",2071202
"18922",8808955
"18923",8420616
"18924",4886784
"18925",7123410
"18926",3539421
"18927",9708830
"18928",1363536
"18929",6334649
"18930",4419817
"18931",7243939
"18932",6284179
"18933",5402795
"18934",8509632
"18935",9626676
"18936",9267597
"18937",7203058
"18938",2203785
"18939",9985875
"18940",9734013
"18941",9058762
"18942",4715986
"18943",2729077
"18944",5935284
"18945",3956837
"18946",880863
"18947",4298050
"18948",3272893
"18949",3768646
"18950",1085089
"18951",2460855
"18952",7572399
"18953",2939770
"18954",1063813
"18955",8820119
"18956",8855201
"18957",2493262
"18958",1901514
"18959",5114225
"18960",9244611
"18961",6760791
"18962",5797692
"18963",3282360
"18964",9276614
"18965",3406844
"18966",516949
"18967",9457352
"18968",138902
"18969",1567356
"18970",6737921
"18971",6214438
"18972",6039669
"18973",286676
"18974",3902180
"18975",5640898
"18976",6496565
"18977",5721702
"18978",7271722
"18979",4643950
"18980",9486447
"18981",5148968
"18982",5220678
"18983",8987267
"18984",1837262
"18985",4701822
"18986",6141469
"18987",6799130
"18988",8230956
"18989",8910492
"18990",7136601
"18991",538374
"18992",8033309
"18993",5847353
"18994",1893996
"18995",491363
"18996",7645536
"18997",4007381
"18998",3065271
"18999",9859908
"19000",1628436
"19001",2094965
"19002",1263494
"19003",9889312
"19004",9341487
"19005",999704
"19006",7693924
"19007",4898549
"19008",9431723
"19009",7584707
"19010",3335635
"19011",8711011
"19012",1610981
"19013",1940391
"19014",1519493
"19015",504860
"19016",8355445
"19017",3112906
"19018",5651523
"19019",5590918
"19020",9646210
"19021",5993866
"19022",2237187
"19023",487951
"19024",9400336
"19025",7052509
"19026",3228909
"19027",8818222
"19028",8386460
"19029",196354
"19030",4453486
"19031",8331437
"19032",5766134
"19033",3681667
"19034",9591051
"19035",6039259
"19036",4594591
"19037",3399437
"19038",5157355
"19039",3007407
"19040",9666172
"19041",1611130
"19042",6566363
"19043",1935441
"19044",6107320
"19045",2210881
"19046",4584638
"19047",9585834
"19048",3928909
"19049",5955180
"19050",451526
"19051",4646862
"19052",5166002
"19053",8346949
"19054",9787174
"19055",9171954
"19056",7424324
"19057",6707738
"19058",782588
"19059",346749
"19060",7700690
"19061",9603611
"19062",9730358
"19063",1159767
"19064",4742001
"19065",6390256
"19066",7756774
"19067",6770915
"19068",8633771
"19069",7251394
"19070",2226555
"19071",8376950
"19072",1689495
"19073",2716082
"19074",6965760
"19075",9690315
"19076",2783602
"19077",362035
"19078",5950038
"19079",4028828
"19080",3863266
"19081",2834713
"19082",2177040
"19083",5056980
"19084",9200035
"19085",5825979
"19086",518230
"19087",4660517
"19088",1556560
"19089",3501980
"19090",945515
"19091",278129
"19092",3185038
"19093",7460432
"19094",6636014
"19095",8955309
"19096",6776835
"19097",9823396
"19098",7590682
"19099",3286304
"19100",433914
"19101",5522027
"19102",6048673
"19103",6854030
"19104",291716
"19105",958336
"19106",426058
"19107",4826589
"19108",9295748
"19109",2518584
"19110",5846514
"19111",5928146
"19112",4034908
"19113",6602970
"19114",1708506
"19115",1133396
"19116",1364969
"19117",3760332
"19118",7629962
"19119",1474443
"19120",1923648
"19121",8308519
"19122",10342
"19123",4120183
"19124",2685764
"19125",5967094
"19126",83445
"19127",824544
"19128",6535154
"19129",3985716
"19130",4217922
"19131",9393650
"19132",4342708
"19133",3691030
"19134",5254304
"19135",9377274
"19136",7262295
"19137",7301701
"19138",8950075
"19139",3072291
"19140",1067455
"19141",3031905
"19142",5345139
"19143",7467293
"19144",7490168
"19145",9951287
"19146",531475
"19147",588501
"19148",5744422
"19149",2739234
"19150",2085123
"19151",4076007
"19152",7440518
"19153",7175795
"19154",789074
"19155",4950616
"19156",8164063
"19157",237144
"19158",2848135
"19159",3176886
"19160",814026
"19161",673529
"19162",527177
"19163",7709856
"19164",8026202
"19165",4853112
"19166",7338049
"19167",6532045
"19168",3328634
"19169",6774145
"19170",6379966
"19171",7887584
"19172",3472118
"19173",5525458
"19174",6239275
"19175",8907799
"19176",7676832
"19177",3155180
"19178",7804071
"19179",2260529
"19180",8124137
"19181",7101088
"19182",9456915
"19183",1605631
"19184",6648566
"19185",7475048
"19186",7513052
"19187",7498592
"19188",4429693
"19189",1690697
"19190",3960560
"19191",3812874
"19192",3889856
"19193",9890834
"19194",4214756
"19195",3760992
"19196",5865731
"19197",3219768
"19198",3846117
"19199",9162296
"19200",4188425
"19201",6027752
"19202",1272657
"19203",2552712
"19204",4012386
"19205",43083
"19206",6968838
"19207",3112078
"19208",4690276
"19209",5427314
"19210",6269696
"19211",5119241
"19212",3444712
"19213",49466
"19214",7288356
"19215",428876
"19216",7256390
"19217",9715696
"19218",3458256
"19219",5499474
"19220",9229552
"19221",8288955
"19222",7535656
"19223",6327608
"19224",2636120
"19225",359630
"19226",1493048
"19227",8928242
"19228",5002108
"19229",8337851
"19230",7143018
"19231",4100444
"19232",6824525
"19233",4285946
"19234",4573063
"19235",2670234
"19236",5456039
"19237",4143840
"19238",6507380
"19239",3970976
"19240",8612154
"19241",225284
"19242",9899027
"19243",3410880
"19244",1709102
"19245",9179036
"19246",4814910
"19247",6784315
"19248",9189103
"19249",3570543
"19250",8952503
"19251",7568574
"19252",5212875
"19253",9226426
"19254",9316649
"19255",3590615
"19256",813098
"19257",1511325
"19258",9216156
"19259",2863377
"19260",6642780
"19261",9174054
"19262",1652443
"19263",3493242
"19264",9228291
"19265",3923572
"19266",6501424
"19267",3980860
"19268",9676915
"19269",1075976
"19270",8565187
"19271",6722475
"19272",783915
"19273",8453857
"19274",6314419
"19275",8715295
"19276",8479108
"19277",5026751
"19278",3519254
"19279",7040176
"19280",1064739
"19281",9142721
"19282",2710849
"19283",9882606
"19284",6427417
"19285",3865062
"19286",6019663
"19287",8272425
"19288",3578438
"19289",5815750
"19290",1584565
"19291",2719886
"19292",5644529
"19293",5449527
"19294",3776654
"19295",6614316
"19296",6110464
"19297",9230431
"19298",4303051
"19299",3602369
"19300",5417342
"19301",6363180
"19302",7842939
"19303",93196
"19304",2486889
"19305",9330194
"19306",2809409
"19307",2223879
"19308",905292
"19309",9902516
"19310",4572078
"19311",8204973
"19312",3120341
"19313",7563431
"19314",6216027
"19315",6230859
"19316",8673811
"19317",2081637
"19318",7542014
"19319",6965887
"19320",1902692
"19321",4667165
"19322",5240805
"19323",1852771
"19324",8489465
"19325",725044
"19326",4708605
"19327",9449918
"19328",5745400
"19329",4806328
"19330",9635757
"19331",6966454
"19332",2557158
"19333",3911894
"19334",1557373
"19335",8958759
"19336",40429
"19337",5791655
"19338",2312455
"19339",7260326
"19340",2475421
"19341",8338247
"19342",1995799
"19343",1113179
"19344",41785
"19345",9212397
"19346",9856973
"19347",2538365
"19348",56234
"19349",3067978
"19350",9646283
"19351",3861728
"19352",2233608
"19353",1078511
"19354",630656
"19355",2014398
"19356",3098873
"19357",6677588
"19358",7298361
"19359",1500371
"19360",4053147
"19361",7355120
"19362",5643655
"19363",8176005
"19364",8444698
"19365",930924
"19366",2151215
"19367",2407720
"19368",1451642
"19369",1346836
"19370",4121659
"19371",6844293
"19372",1071464
"19373",6000055
"19374",8006904
"19375",4737057
"19376",4069992
"19377",1709386
"19378",2542351
"19379",4005162
"19380",477650
"19381",3300654
"19382",3149904
"19383",2081459
"19384",5031315
"19385",4051029
"19386",9479986
"19387",7306326
"19388",1720598
"19389",2348622
"19390",971174
"19391",4526359
"19392",2157527
"19393",7464879
"19394",2765656
"19395",3614910
"19396",1769403
"19397",8596002
"19398",4348558
"19399",562713
"19400",4107835
"19401",2685003
"19402",6579870
"19403",804223
"19404",8462046
"19405",8923611
"19406",9783701
"19407",7007220
"19408",9914279
"19409",629372
"19410",6008332
"19411",8946301
"19412",8494850
"19413",7542142
"19414",6945073
"19415",4478327
"19416",6604402
"19417",5840264
"19418",365036
"19419",6300351
"19420",7094967
"19421",479495
"19422",5502659
"19423",4415227
"19424",5147015
"19425",5049752
"19426",6721694
"19427",9509850
"19428",2605468
"19429",9910475
"19430",7969063
"19431",7852729
"19432",9789489
"19433",7347330
"19434",3826948
"19435",6479808
"19436",4600275
"19437",5536658
"19438",5450522
"19439",3376163
"19440",714989
"19441",6425137
"19442",8141019
"19443",19419
"19444",978643
"19445",639108
"19446",7646851
"19447",655864
"19448",15699
"19449",2799196
"19450",5778516
"19451",6132199
"19452",9036999
"19453",5644466
"19454",1314295
"19455",6957654
"19456",5556992
"19457",2104234
"19458",2243929
"19459",7678672
"19460",8519010
"19461",7065422
"19462",1097717
"19463",2566076
"19464",9580796
"19465",6860607
"19466",7241216
"19467",733619
"19468",3836784
"19469",7527877
"19470",9483419
"19471",456940
"19472",9209331
"19473",134158
"19474",784907
"19475",6575359
"19476",4642087
"19477",4543583
"19478",564291
"19479",218915
"19480",8597099
"19481",1788023
"19482",1381178
"19483",5897757
"19484",6140332
"19485",1383376
"19486",4913765
"19487",6161824
"19488",6679043
"19489",8363851
"19490",122417
"19491",744592
"19492",8411942
"19493",1887980
"19494",4948086
"19495",7583715
"19496",5489879
"19497",1892943
"19498",7877348
"19499",1271891
"19500",156218
"19501",1581983
"19502",4254937
"19503",759147
"19504",2313553
"19505",7551524
"19506",6559232
"19507",8065404
"19508",7767783
"19509",9750496
"19510",8439007
"19511",6461922
"19512",2687004
"19513",2006854
"19514",5462378
"19515",2530277
"19516",7410455
"19517",8525544
"19518",2516407
"19519",6207371
"19520",4570703
"19521",9279453
"19522",26379
"19523",7461878
"19524",2503032
"19525",8188941
"19526",2978828
"19527",2407886
"19528",4391589
"19529",1728371
"19530",5896980
"19531",8651112
"19532",8927715
"19533",998044
"19534",2355849
"19535",8048592
"19536",6824334
"19537",283870
"19538",899811
"19539",3923990
"19540",2795168
"19541",6438259
"19542",4903964
"19543",1294261
"19544",2734704
"19545",4279570
"19546",4411280
"19547",8904053
"19548",5012492
"19549",2892172
"19550",8623860
"19551",2832621
"19552",3253548
"19553",3320168
"19554",3804504
"19555",3874263
"19556",7731289
"19557",3553704
"19558",5628618
"19559",5398261
"19560",5217053
"19561",3118552
"19562",1161443
"19563",6918479
"19564",2164134
"19565",5684284
"19566",8140095
"19567",5004327
"19568",3485474
"19569",5339694
"19570",9667378
"19571",9543396
"19572",29213
"19573",2054227
"19574",7720942
"19575",7532619
"19576",3815320
"19577",3277275
"19578",7486337
"19579",2783560
"19580",7796082
"19581",3171617
"19582",3952229
"19583",7335139
"19584",7922523
"19585",4602658
"19586",2265532
"19587",4037866
"19588",2261693
"19589",9712308
"19590",7727249
"19591",8259930
"19592",246989
"19593",8905144
"19594",4296220
"19595",1657617
"19596",6392322
"19597",3799396
"19598",2862949
"19599",8472482
"19600",5486116
"19601",2269801
"19602",9951456
"19603",6324738
"19604",218208
"19605",1933599
"19606",4270767
"19607",4973608
"19608",7820771
"19609",8292423
"19610",8104560
"19611",3024705
"19612",6635500
"19613",9286466
"19614",3121847
"19615",272605
"19616",4177773
"19617",3612809
"19618",6187149
"19619",44899
"19620",1572065
"19621",516345
"19622",2067613
"19623",7092315
"19624",6571238
"19625",6182860
"19626",8957520
"19627",9921526
"19628",5723402
"19629",712127
"19630",9723072
"19631",8600327
"19632",7567557
"19633",5176249
"19634",2772929
"19635",6792709
"19636",7944344
"19637",4327529
"19638",6650522
"19639",8110245
"19640",6678895
"19641",6311173
"19642",2616438
"19643",8146011
"19644",4891778
"19645",8462943
"19646",75331
"19647",6692188
"19648",9318088
"19649",416696
"19650",8773922
"19651",2174696
"19652",4422008
"19653",5104696
"19654",1847561
"19655",3435984
"19656",277166
"19657",2812680
"19658",3946584
"19659",7220019
"19660",5079811
"19661",9953712
"19662",8388567
"19663",2569644
"19664",3729251
"19665",4552745
"19666",1396070
"19667",4834873
"19668",7096552
"19669",2232394
"19670",988202
"19671",3326562
"19672",2562457
"19673",4423150
"19674",8263957
"19675",7199312
"19676",5885979
"19677",5191749
"19678",7179349
"19679",1971177
"19680",6082633
"19681",1705534
"19682",9235337
"19683",2773737
"19684",605186
"19685",4012628
"19686",7289883
"19687",6040006
"19688",143058
"19689",7403923
"19690",2630971
"19691",2723779
"19692",642254
"19693",815512
"19694",1077232
"19695",5883017
"19696",514854
"19697",3366395
"19698",2810314
"19699",7356045
"19700",6922433
"19701",2319067
"19702",1634273
"19703",1238770
"19704",3792627
"19705",1861863
"19706",3976804
"19707",4960854
"19708",2869072
"19709",3001547
"19710",828022
"19711",6460147
"19712",2649230
"19713",6031004
"19714",6124051
"19715",5660451
"19716",6695687
"19717",8482207
"19718",864983
"19719",1547362
"19720",7465451
"19721",7169514
"19722",8093373
"19723",8046591
"19724",4164003
"19725",9533707
"19726",8117163
"19727",7467830
"19728",6479515
"19729",4404485
"19730",6620843
"19731",2913196
"19732",2073142
"19733",3018621
"19734",1368480
"19735",121605
"19736",3315692
"19737",8133126
"19738",2397575
"19739",475328
"19740",50707
"19741",2191834
"19742",330499
"19743",4934525
"19744",8514982
"19745",2224380
"19746",202181
"19747",2327846
"19748",7527904
"19749",8302519
"19750",2950054
"19751",1348260
"19752",2448935
"19753",5552782
"19754",7584819
"19755",5665197
"19756",8568443
"19757",7407629
"19758",2708969
"19759",8370824
"19760",5027968
"19761",5835709
"19762",2401087
"19763",1451762
"19764",8574467
"19765",5505071
"19766",6881813
"19767",4061752
"19768",8373427
"19769",2050772
"19770",8006255
"19771",1791443
"19772",9905021
"19773",9004097
"19774",4852207
"19775",6734565
"19776",6551241
"19777",2956556
"19778",8029727
"19779",158365
"19780",8642770
"19781",9829486
"19782",4746204
"19783",2632522
"19784",7447260
"19785",4182062
"19786",567520
"19787",6887082
"19788",134129
"19789",369777
"19790",4422093
"19791",9925657
"19792",2794926
"19793",9416694
"19794",9924571
"19795",3431646
"19796",1618186
"19797",1589206
"19798",8458646
"19799",7793923
"19800",6034918
"19801",4383166
"19802",8272905
"19803",3337508
"19804",7618415
"19805",7047729
"19806",5295685
"19807",7749686
"19808",7850503
"19809",7030625
"19810",9666062
"19811",3996405
"19812",3762703
"19813",4361991
"19814",7844510
"19815",5269316
"19816",9670581
"19817",7804082
"19818",2210226
"19819",3949557
"19820",2572869
"19821",7613548
"19822",5253316
"19823",3330715
"19824",9780024
"19825",336891
"19826",7272896
"19827",117393
"19828",8724686
"19829",5338889
"19830",9992721
"19831",4683838
"19832",2305427
"19833",3570235
"19834",8612135
"19835",4341905
"19836",3521543
"19837",936152
"19838",9920776
"19839",7753567
"19840",5772434
"19841",2967938
"19842",3811792
"19843",9174648
"19844",2349538
"19845",4357011
"19846",3039740
"19847",9732008
"19848",8395331
"19849",5293040
"19850",2527711
"19851",6925645
"19852",3939487
"19853",2454022
"19854",6271566
"19855",4679665
"19856",6858068
"19857",3388934
"19858",6930110
"19859",4149086
"19860",8481139
"19861",6403190
"19862",7701560
"19863",7916342
"19864",6864822
"19865",5537303
"19866",3075180
"19867",5141566
"19868",9920673
"19869",1596823
"19870",2199195
"19871",1317034
"19872",7072927
"19873",1155459
"19874",5519376
"19875",1852755
"19876",7419969
"19877",3488540
"19878",773478
"19879",4749551
"19880",6066456
"19881",9563193
"19882",8919709
"19883",2332168
"19884",1477181
"19885",2877002
"19886",8473110
"19887",2265027
"19888",2436731
"19889",7827191
"19890",8251693
"19891",1308649
"19892",5166409
"19893",828633
"19894",3032579
"19895",1955579
"19896",7293404
"19897",8499427
"19898",4160765
"19899",6609492
"19900",6892187
"19901",3023123
"19902",745034
"19903",3060307
"19904",3498236
"19905",532692
"19906",2136846
"19907",2784861
"19908",6297568
"19909",3855918
"19910",2203475
"19911",9697665
"19912",9261990
"19913",9162583
"19914",88248
"19915",8033533
"19916",827484
"19917",7874927
"19918",6848102
"19919",2700040
"19920",339826
"19921",1291800
"19922",2754894
"19923",1701745
"19924",9960436
"19925",3563400
"19926",6970052
"19927",8702538
"19928",2415369
"19929",6662244
"19930",1501535
"19931",8500097
"19932",9265486
"19933",9061246
"19934",8080490
"19935",1448395
"19936",232790
"19937",2450765
"19938",8577667
"19939",5374178
"19940",9003425
"19941",649391
"19942",728873
"19943",7630509
"19944",6053606
"19945",5377086
"19946",6516370
"19947",263968
"19948",6492117
"19949",8857582
"19950",2940254
"19951",7846074
"19952",6095122
"19953",7450155
"19954",3203954
"19955",4866020
"19956",5596976
"19957",879566
"19958",2327879
"19959",3574356
"19960",1335563
"19961",9517901
"19962",1690219
"19963",2862019
"19964",6041731
"19965",4933563
"19966",5592203
"19967",6833662
"19968",5215345
"19969",340863
"19970",4847440
"19971",5457436
"19972",4001458
"19973",3939861
"19974",8589098
"19975",4644886
"19976",8095006
"19977",482213
"19978",2219383
"19979",242243
"19980",4395200
"19981",3799972
"19982",1708542
"19983",9660439
"19984",3916909
"19985",3069781
"19986",9496275
"19987",7999954
"19988",2567126
"19989",3369001
"19990",6253222
"19991",5693906
"19992",6047208
"19993",6439293
"19994",4841591
"19995",5252277
"19996",2397148
"19997",1264181
"19998",3886218
"19999",484355
"20000",9213081
"20001",5849814
"20002",3295534
"20003",7241829
"20004",6444422
"20005",6828204
"20006",6792479
"20007",3134499
"20008",7114551
"20009",1945458
"20010",3239819
"20011",1861198
"20012",9124802
"20013",4161573
"20014",2126363
"20015",3493740
"20016",2598881
"20017",3997791
"20018",9072332
"20019",9371104
"20020",4057311
"20021",3953376
"20022",413672
"20023",6510492
"20024",5743127
"20025",9504705
"20026",3811883
"20027",5183072
"20028",3984759
"20029",9419278
"20030",3094617
"20031",7679941
"20032",3850523
"20033",7166419
"20034",8079550
"20035",3818846
"20036",3429638
"20037",9992830
"20038",4469917
"20039",9220668
"20040",2785454
"20041",6982214
"20042",7989199
"20043",708537
"20044",4124028
"20045",4820923
"20046",4726037
"20047",1536680
"20048",5986656
"20049",9119134
"20050",2417814
"20051",9399893
"20052",3265468
"20053",7588959
"20054",2627368
"20055",3179961
"20056",3596917
"20057",5278703
"20058",7154336
"20059",3683176
"20060",2912660
"20061",5017768
"20062",5606695
"20063",8904304
"20064",4448127
"20065",5060552
"20066",1214918
"20067",4617507
"20068",3033661
"20069",8614296
"20070",7331340
"20071",88038
"20072",4633355
"20073",179431
"20074",2147802
"20075",4237724
"20076",4041074
"20077",1382787
"20078",7279682
"20079",4890425
"20080",6468120
"20081",8777060
"20082",5452075
"20083",3388316
"20084",8937174
"20085",2980144
"20086",1572072
"20087",3600660
"20088",5742666
"20089",8269160
"20090",8032665
"20091",6797384
"20092",5504134
"20093",9603897
"20094",8609816
"20095",9624225
"20096",5205445
"20097",7408875
"20098",9612828
"20099",3575708
"20100",796530
"20101",5780274
"20102",6768277
"20103",8020181
"20104",9035054
"20105",8961587
"20106",987327
"20107",6555006
"20108",4387399
"20109",2640902
"20110",2884689
"20111",8546902
"20112",4418499
"20113",8161631
"20114",3935530
"20115",668350
"20116",5586809
"20117",905907
"20118",4481490
"20119",158960
"20120",7827557
"20121",6751751
"20122",5071158
"20123",3027716
"20124",5410105
"20125",7569014
"20126",6603112
"20127",7208023
"20128",7288179
"20129",3710495
"20130",3782827
"20131",1914544
"20132",4452107
"20133",5607422
"20134",1410862
"20135",6765033
"20136",7687140
"20137",6769032
"20138",2591707
"20139",8223212
"20140",1623852
"20141",6968262
"20142",5259744
"20143",4187466
"20144",778185
"20145",5100889
"20146",9121370
"20147",6612411
"20148",8330545
"20149",1643174
"20150",5762855
"20151",9577395
"20152",151470
"20153",3794910
"20154",5025252
"20155",5476605
"20156",5504306
"20157",7956920
"20158",5689104
"20159",281475
"20160",3933068
"20161",4210563
"20162",4731092
"20163",2409509
"20164",4506073
"20165",4736368
"20166",8331387
"20167",2467809
"20168",8089100
"20169",2388148
"20170",7699336
